ID,Full Name,Phone Number
10067,Korzh Ihor Varfolomiyivna,+380737718510
10068,Yerchenko Avrelij Semenovych,+380685860224
10069,Kalenychenko Dmytro Myronivna,+380731127213
10070,Reva Onysym Pylypovych,+380971775433
10071,Masokha Hlib Tymofijovych,+380969995694
10072,Vakhnij Varvara Boleslavivna,+380638253059
10073,Yizhakevych Liza Zakharovych,+380736456246
10074,Durdynets' Arsen Ustymivna,+380672064356
10075,Syrotenko Borys Andrijovych,+380950978373
10076,Dubenko Svitlana Heorhijovych,+380995996468
10077,Vertyporokh Marʼjana Antonivna,+380991882500
10078,Abramenko Ruslan Borysivna,+380931778957
10079,Cherednyk Klavdija Zakharivna,+380733384224
10080,Zhalilo Zakhar Jaremivna,+380665293928
10081,Gereta Liza Eduardovych,+380954496738
10082,Aleksandrenko Tymofij Artemovych,+380666476250
10083,Dzjuba Danylo Klymentivna,+380966351782
10084,Stel'makh Oles' Volodymyrovych,+380735553153
10085,Kopytko Vladyslav Oles'ovych,+380733818801
10086,Shmorhun Trokhym Ostapovych,+380964889357
10087,Nazarenko Arkadij Vadymivna,+380731851116
10088,Bakumenko Ruslan Svjatoslavovych,+380937913094
10089,Turkalo Lilija Hryhoriyivna,+380982626913
10090,Tovstolis Pantelejmon Demydivna,+380679576361
10091,Havryljuk Prokhir Trokhymovych,+380733726172
10092,Vatamanjuk Maryna Avrelijovna,+380679540516
10093,Rjabovil Feofan Stepanovych,+380666422521
10094,Kabanenko Heorhij Boryslavivna,+380963798049
10095,Velychko Aaron Eduardivna,+380963006795
10096,Derjazhna Oksana Yevhenijovych,+380970143992
10097,Bajdak Jaryna Nazarivna,+380677966575
10098,Hutsuljak Bohdanna Orestivna,+380662125037
10099,Abrahamovs'kyj Fedir Panasivna,+380668288231
10100,Jaremko Marʼjana Solomonovych,+380963410601
10101,Havryshkevych Natalija Hryhoriyivna,+380636939489
10102,Yemel'janenko Teodor Dmytrovych,+380735150687
10103,Zatovkanjuk Demʼjan Amvrosijovych,+380968944443
10104,Dashenko Khoma Klymentovych,+380502916395
10105,Zakusylo Demyd Varfolomiyivna,+380676714557
10106,Telizhenko Daryna Ustymovych,+380984508904
10107,Protsenko Snizhana Leonidivna,+380673272651
10108,Nehoda Varfolomij Myronovych,+380677554295
10109,Skyba Frants Hryhorijovych,+380664759671
10110,Korolenko Artem Mykytovych,+380635342700
10111,Jakymenko Amalija Arkadijovych,+380504792331
10112,Chupryna Amvrosij Jaroslavovych,+380632500723
10113,Zasukha Mykhajlyna Stepanovych,+380970381072
10114,Bevzenko Davyd Leopol'dovych,+380951463720
10115,Jushchenko Semen Fedorovych,+380983804987
10116,Tsjutsjura Onysym Alevtynivna,+380631090729
10117,Lytvynenko Eduard Khomovych,+380686361055
10118,Ivasjuk Olena Hermanivna,+380992016267
10119,Tovstukha Panas Vadymivna,+380673388293
10120,Palij Olena Jaroslavovych,+380961353350
10121,Kal'chenko Oleksandr Aaronovych,+380737192562
10122,Atamanjuk Kostjantyn Bohdanivna,+380671574388
10123,Panchuk Leon Lukʼjanivna,+380987480558
10124,Lazarenko Khoma Amvrosijovna,+380951069776
10125,Romanchuk Justym Alevtynovych,+380634390979
10126,Babʼjak Marusja Havrylivna,+380681946652
10127,Demʼjanchuk Dan Danylovych,+380989444679
10128,Salij Roman Mykhajlivna,+380977175665
10129,Andrijchuk Myron Yevhenivna,+380683494508
10130,Teslja Martyn Yefremivna,+380688169899
10131,Kopytko Pantelejmon Stefanivna,+380988661220
10132,Goljash Zakhar Jukhymovych,+380638186245
10133,Jurchenko Avrelij Hryhoriyivna,+380968223733
10134,Shchors Yefrem Hermanivna,+380983238417
10135,Hrechko Martyn Vitaliyivna,+380509158890
10136,Savenko Khoma Jukhymivna,+380504275415
10137,Ivanenko Anton Volodymyrovych,+380676943891
10138,Fomenko Oleksandr Stepanivna,+380951730937
10139,Pushkar Bohuslav Martynovych,+380638930493
10140,Korbut Zakhar Yelysejovych,+380982667621
10141,Franchuk Mykhajlo Arsenivna,+380968426618
10142,Jukhymenko Mykyta Vitalijovych,+380732433010
10143,Rudyk Opanas Havrylivna,+380981856712
10144,Yizhak Andrij Vʼjacheslavovych,+380930025828
10145,Holyk Roksolana Oles'ovych,+380630580196
10146,Babarychenko Bohdan Amvrosijovna,+380661435509
10147,Tarasenko Marusja Olehivna,+380951207161
10148,Drozd Kamilla Danylovych,+380662897070
10149,Shovkopljas Ustym Yefremivna,+380689126948
10150,Romanchuk Edyta Davydovych,+380505155500
10151,Avramenko Oksana Vʼjacheslavovych,+380682162929
10152,Kybkalo Vadym Frantsivna,+380952734128
10153,Hajvorons'kyj Lukʼjan Andrijovych,+380667661749
10154,Hajvorons'ka Leopol'd Boryslavivna,+380991021457
10155,Habelko Arsen Ruslanivna,+380936986117
10156,Vashchenko-Zakharchenko Mykolaj Vitalijovych,+380936979867
10157,Teslja Andrij Orestovych,+380507744515
10158,Franko Arsen Ostapovych,+380931620909
10159,Makohon Danylo Spasivna,+380972244980
10160,Vanchenko Yelysaveta Artemivna,+380933498962
10161,Skyrda Priska Petrovych,+380636853496
10162,Pelekh Illja Zynovijovych,+380737848757
10163,Hutsuljak Vitalij Serhijovych,+380733040716
10164,Tokar Heorhij Vitalijovych,+380660310426
10165,Somko Bohdanna Jukhymovych,+380985530345
10166,Goljash Lilija Maksymivna,+380664855057
10167,Vysochan Danylo Vadymivna,+380935492616
10168,Vatamanjuk Mykyta Venijamynivna,+380668404734
10169,Hupalo Prokhir Valeriyivna,+380631194855
10170,Prymachenko Anzhela Vadymovych,+380966245824
10171,Yeremenko Venedykt Omeljanovych,+380985222060
10172,Rjaboshapka Teodor Trokhymovych,+380966683624
10173,Vasylevych Milena Amvrosijovna,+380638376588
10174,Hajvorons'ka Danylo Petrovych,+380935098336
10175,Zhajvoron Anton Opanasovych,+380973547374
10176,Tytarenko Jakiv Serhijovych,+380933491141
10177,Hun'ko Zakhar Antonovych,+380967835786
10178,Bhydenko Ada Boleslavivna,+380635202254
10179,Sych Josyp Bohuslavivna,+380671834353
10180,Batih Tereza Ostapovych,+380663930443
10181,Shablij Liza Arkadijovych,+380966910870
10182,Khudjak Myron Arsenovych,+380730479957
10183,Arkhymovych Fedir Zorjanovych,+380990622651
10184,Tsymbaljuk Okhrim Tymofijovych,+380685536901
10185,Pelekh Hanna Volodymyrovych,+380997787944
10186,Udovenko Erika Illivna,+380631200059
10187,Khrystenko Havrylo Solomonovych,+380934396408
10188,Havrylenko Okhrim Bohodarivna,+380985843373
10189,Matviyenko Tymofij Varfolomiyivna,+380960825198
10190,Yesypenko Oleksa Ivanivna,+380964783657
10191,Usyk Oles' Vadymovych,+380958958030
10192,Prykhod'ko Hryhorij Leonidivna,+380737779385
10193,Jaremenko Vasylyna Serhijovych,+380986226780
10194,Bazavluchenko Svjatoslav Dmytriyivna,+380933798948
10195,Mykhaljuk Bohuslav Demydovych,+380969894806
10196,Avramenko Tereza Zynovijovych,+380682425761
10197,Pavlenko Zynovij Danylivna,+380973258255
10198,Barabash Onysym Svjatoslavovych,+380739278016
10199,Chupryna Al'bina Danivna,+380666575945
10200,Jarosh Ivan Danylovych,+380977332747
10201,Hohol'-Janovs'kyj Zynovij Dmytrovych,+380734504500
10202,Lukash Erika Danylovych,+380662632585
10203,Bajda Teodor Alevtynovych,+380961287895
10204,Makohon Roman Heorhijovych,+380672760605
10205,Rjaboshapka Valentyna Jaremivna,+380674921036
10206,Tymchuk Pylyp Leopol'dovych,+380682747837
10207,Palij Jaroslav Vasyl'ivna,+380968364563
10208,Arkhypenko Solomon Oleksandrivna,+380739484372
10209,Dejsun Petro Venijamynovych,+380675789679
10210,Zasenko Venedykt Symonivna,+380731196454
10211,Sahal' Venijamyn Symonivna,+380733162597
10212,Zubko Stepan Rostyslavovych,+380939829158
10213,Pelekh Leon Trokhymovych,+380967515648
10214,Lutsenko Jaryna Opanasovych,+380997540682
10215,Avdyeyenko Mykolaj Hennadiyivna,+380735847839
10216,Jurchenko Danylo Myroslavivna,+380636217307
10217,Medvedenko Dmytro Hordijovych,+380500117219
10218,Tsybulenko Arkadij Okhrimivna,+380957355570
10219,Malyshko Zakhar Dmytriyivna,+380509355883
10220,Rjabchenko Hanna Olehivna,+380980716148
10221,Bandera Trokhym Stanislavivna,+380992933796
10222,Yerchenko Artem Bohodarivna,+380731418983
10223,Matviyenko Oleksandr Avrelijovych,+380734273892
10224,Miroshnychenko Yevhen Al'bertovych,+380969683591
10225,Filipenko Opanas Makarivna,+380669238190
10226,Fastenko Zlatoslava Pylypivna,+380995207895
10227,Nosenko Dmytro Leopol'dovych,+380965673571
10228,Babko Valerij Zakharovych,+380934682003
10229,Andriyevych Oles' Myronovych,+380968728973
10230,Datsjuk Marusja Vasyl'ovych,+380738753501
10231,Shvachka Josyp Stanislavivna,+380679057819
10232,Korolenko Vira Hlibivna,+380967119834
10233,Hodunok Jukhym Demydovych,+380732122419
10234,Dzhun' Anita Jukhymivna,+380936492977
10235,Vitruk Mykhajlo Myroslavivna,+380637419981
10236,Babij Liza Romanivna,+380996565544
10237,Isayevych Yelysej Ihorovych,+380938450194
10238,Chumachenko Myron Alevtynovych,+380671087095
10239,Perepelytsja Vʼjacheslav Solomonovych,+380938816835
10240,Prymachenko Orkhyp Arkadijovych,+380507964606
10241,Korolenko Khoma Andriyivna,+380664315115
10242,Dakhno Tymofij Jaroslavivna,+380502363630
10243,Babʼjak Vʼjacheslav Semenivna,+380674548093
10244,Laba Borys Alevtynivna,+380978475273
10245,Ovsiyenko Davyd Ustymivna,+380972534620
10246,Babko Borys Pavlivna,+380732622255
10247,Fartushnjak Andrij Eduardivna,+380974485002
10248,Drobakha Rostyslav Hlibovych,+380672866562
10249,Zabashta Kostjantyn Orestivna,+380979976450
10250,Bandera Volodymyra Vʼjacheslavovych,+380977497799
10251,Shablij Ljudmyla Oleksandrovych,+380958414416
10252,Bandera Amvrosij Teodorovych,+380678843769
10253,Chaban Ivan Dmytrovych,+380996613663
10254,Shchyrytsja Danylo Nestorivna,+380979875667
10255,Valenko Edyta Davydovych,+380980122278
10256,Chajka Artem Fedorivna,+380631265579
10257,Perepelytsja Leonid Yefremivna,+380960834115
10258,Shelest Adam Demʼjanivna,+380967911749
10259,Taran Yeva Okhrimovych,+380509598482
10260,Viter Zakhar Leonidivna,+380994180442
10261,Tymchenko Nazar Pavlovych,+380665492343
10262,Jarema Amvrosij Tarasovych,+380950467642
10263,Bazylevych Lukʼjan Vitalijovych,+380667784481
10264,Havryljuk Ivan Hordiyivna,+380934334792
10265,Lubenets' Frants Makarovych,+380978313146
10266,Galagan Zynovij Jaroslavivna,+380975682480
10267,Arkhymovych Ljubov Leopol'divna,+380950277667
10268,Adamenko Yeva Opanasivna,+380676340810
10269,Chervonenko Roksolana Havrylovych,+380661197196
10270,Habelko Fedir Martynivna,+380988796791
10271,Havrylenko Amalija Vʼjacheslavivna,+380998741708
10272,Huz' Myron Fedorovych,+380987124999
10273,Prykhod'ko Leontij Stepanovych,+380956795539
10274,Dan'ko Alevtyn Aaronovych,+380991400218
10275,Fastenko Vasyl' Borysovych,+380509469957
10276,Zajchenko Stefan Martynivna,+380637229632
10277,Lukash Ostap Pavlovych,+380998869779
10278,Demʼjanenko Oleh Justymivna,+380504301049
10279,Yeremenko Hanna Pavlovych,+380675911940
10280,Talan Valerij Boleslavivna,+380959816613
10281,Abrahamovs'kyj Viktor Solomonovych,+380506890562
10282,Demʼjanjuk Khoma Myronivna,+380989101481
10283,Shakhraj Iryna Andriyivna,+380962557365
10284,Asaula Kamilla Avrelijovych,+380932577775
10285,Dubenko Opanas Valentynovych,+380737667131
10286,Vasylevych Andrij Tarasivna,+380504047488
10287,Makarenko Azar Pavlovych,+380950238238
10288,Sirobaba Ustym Yefremovych,+380967575696
10289,Karmaljuk Zorjan Adamivna,+380684544340
10290,Okhrimenko Vadym Valeriyivna,+380509458740
10291,Tverdokhlib Martyn Oleksandrivna,+380508831627
10292,Kolodub Klavdija Jaroslavivna,+380960853944
10293,Rak Ljubov Dmytrovych,+380506156552
10294,Havrjushenko Borys Demʼjanivna,+380959727530
10295,Vdovenko Khoma Davydovych,+380975300583
10296,Tryhub Volodymyra Demʼjanovych,+380939812086
10297,Vasylechko Roman Adamovych,+380632018143
10298,Havryliv Tymofij Demʼjanovych,+380633702168
10299,Bevzenko Demʼjan Aaronivna,+380992028040
10300,Yevtushok Prokhir Varfolomijovych,+380978734632
10301,Yer'omenko Svitlana Vasyl'ivna,+380936761125
10302,Rjabovil Okhrim Mykolayivna,+380933808560
10303,Konoplenko Erika Demydivna,+380636293468
10304,Vovk Trokhym Omeljanovych,+380684201909
10305,Shukhevych Ihor Demydovych,+380982918825
10306,Yeroshenko Havrylo Volodymyrovych,+380961278962
10307,Romanchuk Symon Olehovych,+380971988753
10308,Dashkevych Zakhar Jukhymivna,+380738193292
10309,Mykhajlychenko Svjatoslava Stefanivna,+380985438506
10310,Sirobaba Odarka Pavlovych,+380736351349
10311,Fartushnjak Nadija Volodymyrovych,+380992532576
10312,Jaremko Orest Ostapivna,+380981209081
10313,Tereshchenko Lilija Klymentivna,+380966765751
10314,Jurchyshyn Eduard Ruslanivna,+380951187418
10315,Aronets' Hryhorij Demydivna,+380679021758
10316,Akymenko Ol'ha Kyrylivna,+380677076350
10317,Orobets' Onysym Ihnatovych,+380681189584
10318,Tsarenko Taras Borysivna,+380737622096
10319,Karpa Amvrosij Leopol'dovych,+380996731963
10320,Yevtushenko Myron Eduardivna,+380931184083
10321,Shvachka Al'bert Hennadiyivna,+380978703680
10322,Onufriyenko Havrylo Boleslavovych,+380501547807
10323,Yemets' Emilija Artemovych,+380951832893
10324,Shapoval Prokhir Yefremivna,+380951321227
10325,Tereshchenko Amalija Petrovych,+380660757928
10326,Romanenko Bohuslav Symonovych,+380665580772
10327,Avdyeyenko Justym Ivanivna,+380969967620
10328,Rebryk Al'bina Nestorovych,+380950812337
10329,Mykytjuk Ada Justymivna,+380671299528
10330,Havryljuk Okhrim Myronovych,+380992761743
10331,Red'ko Yevhen Avrelijovna,+380502053393
10332,Rak Nazar Artemivna,+380933347680
10333,Romanchuk Arsen Valerijovych,+380638443849
10334,Lysenko Bohuslav Boryslavovych,+380933860032
10335,Vernyhora Maryna Borysovych,+380732242985
10336,Franchuk Yeva Frantsivna,+380636107816
10337,Shapoval Anzhela Kyrylovych,+380638312474
10338,Onyshchenko Azar Viktorovych,+380730129020
10339,Vasylashko Vʼjacheslav Yelysejovych,+380739966518
10340,Ivanchenko Opanas Havrylivna,+380731645404
10341,Jarema Snizhana Kostjantynovych,+380505484602
10342,Khrystenko Alla Svjatoslavovych,+380633750684
10343,Onishchuk Serhij Arsenivna,+380961019008
10344,Prykhod'ko Tereza Zakharovych,+380972684383
10345,Bandura Jarema Omeljanivna,+380680893273
10346,Shvachko Vʼjacheslav Andriyivna,+380955628897
10347,Danchuk Svjatoslava Petrivna,+380507918411
10348,Shapoval Danna Pavlovych,+380688275196
10349,Shukhevych Larysa Dmytrovych,+380501550927
10350,Khudobʼjak Ustym Antonivna,+380967105854
10351,Artym Kostjantyn Arkadiyivna,+380660088149
10352,Abramenko Heorhij Nazarovych,+380672889530
10353,Masljak Justym Khomovych,+380673604191
10354,Bandura Aaron Lukʼjanovych,+380991269182
10355,Galagan Amvrosij Aaronovych,+380994573023
10356,Avdyeyenko Anastasija Josypivna,+380958937886
10357,Shcherban' Myroslav Illivna,+380938668094
10358,Drozdenko Hordij Viktorivna,+380683549996
10359,Zhajvoron Kostjantyn Amvrosijovna,+380674159354
10360,Ruban Prokhir Avhustynovych,+380938236511
10361,Zhuravel' Hordij Adamivna,+380682461703
10362,Makohon Ihor Hlibovych,+380675612522
10363,Teslja Adam Amvrosijovna,+380636326453
10364,Ljashko Kyrylo Vitalijovych,+380989322564
10365,Telychenko Ihnat Azarovych,+380951892893
10366,Tsjutsjura Svjatoslava Yefremivna,+380688765916
10367,Artjushenko Jaroslav Bohuslavovych,+380631977310
10368,Babʼjak Olena Ruslanivna,+380680362698
10369,Shvedchenko Marko Maksymovych,+380666365891
10370,Panchuk Pylyp Kostjantynivna,+380664803779
10371,Demʼjanjuk Edyta Spasivna,+380689557095
10372,Skorobohat'ko Fedir Myronivna,+380968734526
10373,Kovaljuk Okhrim Hlibivna,+380984798430
10374,Babʼjak Yevhen Martynovych,+380508571291
10375,Kylymnyk Alevtyn Fedorivna,+380634167313
10376,Bajda Ljubov Ihorovych,+380682749102
10377,Baturynets' Frants Leopol'divna,+380672376923
10378,Havrylyshyn Petro Yefremivna,+380670930322
10379,Zayets' Liza Pantelejmonovych,+380639805250
10380,Il'yenko Makar Olehovych,+380936550520
10381,Babenko Emilija Mykytivna,+380936187909
10382,Vanchenko Kyrylo Leonidivna,+380672768067
10383,Babko Vʼjacheslav Vladyslavivna,+380689962299
10384,Konoplenko Bohodar Orkhypovych,+380689069339
10385,Zasjad'ko Odarka Pylypovych,+380665583744
10386,Averchenko Alevtyn Borysivna,+380931113464
10387,Somko Azar Yevhenivna,+380967579824
10388,Baklan Demʼjan Maksymivna,+380932543162
10389,Yermolenko Oleksandr Yevhenivna,+380982819618
10390,Pylypenko Mykhajlyna Azarivna,+380996259910
10391,Khomenko Pantelejmon Justymovych,+380987544152
10392,Kolesnychenko Ada Tymofijovych,+380933704091
10393,Syrotenko Maryna Nestorovych,+380660487751
10394,Durdynets' Orest Maksymovych,+380673725552
10395,Lukash Andrij Leopol'divna,+380667775713
10396,Yizhak Oles' Olehovych,+380636905098
10397,Mykhajljuk Levko Bohdanovych,+380508073964
10398,Kanivets' Onysym Jaremovych,+380934474547
10399,Tykha Nadija Andrijovych,+380993828223
10400,Danchuk Leontij Vʼjacheslavivna,+380933623151
10401,Mykytjuk Iryna Hryhorijovych,+380985588976
10402,Orlyk Sofija Bohodarovych,+380973584621
10403,Prokopovych Marusja Jukhymivna,+380502562335
10404,Bandurka Davyd Bohuslavovych,+380999411728
10405,Pelekh Fedir Amvrosijovna,+380681479039
10406,Shyjan Priska Vʼjacheslavovych,+380635473486
10407,Tryhub Levko Danivna,+380968426363
10408,Chervonenko Varvara Mykytivna,+380955436455
10409,Chumachenko Alla Semenivna,+380635868590
10410,Shelest Rozalija Avrelijovych,+380630370031
10411,Vlokh Nadija Vladyslavovych,+380962903771
10412,Duplij Valentyn Jukhymovych,+380994098333
10413,Kabaljuk Myroslav Markivna,+380678445187
10414,Jakovenko Feofan Boleslavovych,+380667252724
10415,Vertyporokh Priska Artemivna,+380961101375
10416,Barannyk Heorhij Alevtynivna,+380678170850
10417,Yefymenko Oksana Ostapovych,+380966925252
10418,Mazur Klyment Kostjantynivna,+380972386285
10419,Oberemko Heorhij Leopol'dovych,+380956688840
10420,Il'chenko Viktorija Amvrosijovych,+380951132977
10421,Orlyk Viktorija Pantelejmonivna,+380666654622
10422,Havrylenko Yefrem Semenovych,+380730042340
10423,Prymachenko Oleksandr Tymofiyivna,+380665355876
10424,Onyshchenko Anastasija Havrylivna,+380985584490
10425,Perepelytsja Marusja Oles'ovych,+380731232902
10426,Zakusylo Alina Ruslanivna,+380739822731
10427,Furs Stanislav Trokhymovych,+380675861880
10428,Pryjmak Anzhela Havrylovych,+380992999624
10429,Darahan Klavdija Panasivna,+380684991458
10430,Yevtushenko Solomon Ihnatovych,+380954309912
10431,Chajka Natalija Oleksandrovych,+380665800879
10432,Dzjuba Yelysaveta Venijamynovych,+380508629878
10433,Batjuk Dan Nestorivna,+380996735049
10434,Reva Volodymyra Illivna,+380687930660
10435,Derjazhna Vadym Boleslavivna,+380502493840
10436,Reva Yelysej Jakovovych,+380682602648
10437,Sych Orest Ivanivna,+380963148897
10438,Ivanchenko Al'bert Rostyslavivna,+380972472071
10439,Zhurba Frants Ihorivna,+380504017728
10440,Orobets' Tetjana Havrylovych,+380982005511
10441,Khorishko Andrij Hlibivna,+380957700310
10442,Bevz Leonid Leonidovych,+380981045149
10443,Nestajko Orysja Rostyslavivna,+380632476231
10444,Ishchak Marija Markivna,+380964876081
10445,Vashchuk Hryhorij Avhustynivna,+380973972434
10446,Pavlenko Yeva Spasivna,+380687417646
10447,Bezborod'ko Trokhym Viktorovych,+380970089970
10448,Sayenko Lukʼjan Yevhenivna,+380963872492
10449,Zaruba Ustym Stanislavivna,+380972425716
10450,Bazylevych Stefan Olehivna,+380738361207
10451,Androshchuk Azar Okhrimovych,+380688398373
10452,Savenko Alla Artemovych,+380631258227
10453,Zabashta Ol'ha Tymofijovych,+380961937035
10454,Zharko Anita Vasyl'ovych,+380687465182
10455,Rak Liza Mykhajlovych,+380952372096
10456,Ljashko Vira Danivna,+380661544913
10457,Shovkopljas Ruslan Demʼjanovych,+380738485616
10458,Dubyna Varfolomij Pavlovych,+380970899822
10459,Tsybulenko Bohdan Oleksandrovych,+380680280390
10460,Levchenko Halyna Danivna,+380679418092
10461,Pʼjatachenko Nazar Makarivna,+380736889170
10462,Dejsun Borys Volodymyrovych,+380950768548
10463,Artymyshyn Volodymyr Ivanovych,+380667251810
10464,Baranyk Tetjana Valentynovych,+380679565770
10465,Shcherban' Lilija Leonidivna,+380682218923
10466,Korolenko Levko Pantelejmonovych,+380995039964
10467,Masokha Vitalij Solomonivna,+380930456277
10468,Tytarenko Nadija Bohodarovych,+380687461516
10469,Onyshchenko Artem Zorjanivna,+380966283234
10470,Babko Ivan Stanislavivna,+380980126884
10471,Andrijovych Khoma Adamovych,+380635112114
10472,Bajrak Oleksa Yelyseyivna,+380971705248
10473,Mamchur Alevtyn Yelysejovych,+380502281813
10474,Jaremchuk Heorhij Stefanivna,+380989962739
10475,Dubas Oles' Myronovych,+380679787531
10476,Panchuk Onysym Solomonivna,+380669919581
10477,Gzhyts'ka Josyp Demydivna,+380735856596
10478,Zabara Jaryna Teodorovych,+380664506408
10479,Babijchuk Volodymyr Borysovych,+380508849880
10480,Sljusar Kamilla Lukʼjanovych,+380931945597
10481,Kozak Orkhyp Myroslavivna,+380970866648
10482,Hajdaj Adam Serhijovych,+380732256659
10483,Shvajka Dmytro Antonivna,+380976274956
10484,Velychko Spas Teodorovych,+380508430199
10485,Sych Justyna Olehovych,+380960285121
10486,Yemets' Alla Panasovych,+380632331174
10487,Gereta Boryslav Vʼjacheslavivna,+380992421533
10488,Shchors Amvrosij Arkadiyivna,+380971861142
10489,Vovk Svjatoslava Bohodarivna,+380666321685
10490,Jaremko Justym Justymivna,+380661021475
10491,Yemets' Varvara Rostyslavovych,+380509258235
10492,Yesypenko Milena Nestorivna,+380990244678
10493,Demʼjanchuk Ihnat Venijamynovych,+380631499741
10494,Hajdamaka Anzhela Arsenivna,+380985895908
10495,Andrijovych Fedir Azarivna,+380660290181
10496,Fastenko Semen Orestivna,+380685324085
10497,Lemeshko Khrystyna Jukhymivna,+380501116481
10498,Holoborod'ko Priska Viktorovych,+380937613373
10499,Baranyk Priska Trokhymovych,+380983628336
10500,Artjushenko Eduard Vitaliyivna,+380968235336
10501,Korsun Khoma Svjatoslavovych,+380630788461
10502,Jaremenko Viktorija Vadymivna,+380670929506
10503,Skorobohat'ko Larysa Alevtynovych,+380501677905
10504,Darahan Ljubov Ustymivna,+380732028480
10505,Vyshnjak Amvrosij Jaroslavivna,+380938319146
10506,Vlasjuk Zakhar Ruslanivna,+380960742499
10507,Franchuk Larysa Kyrylivna,+380733311077
10508,Pustovit Tymofij Antonivna,+380935295667
10509,Artjushenko Mykhajlo Romanivna,+380989327324
10510,Andriyishyna Prokhir Leontiyivna,+380983965919
10511,Zakusylo Myron Avrelijovna,+380681888975
10512,Symonenko Myroslav Jukhymovych,+380970887054
10513,Danchuk Zorjan Amvrosijovych,+380933836637
10514,Kovaljuk Bohuslav Martynivna,+380939775578
10515,Pelekh Khoma Justymivna,+380734096576
10516,Bandera Justyna Jaremivna,+380635213107
10517,Romanenko Alla Arsenivna,+380664728584
10518,Konoplja Tymofij Bohuslavovych,+380958699825
10519,Danylenko Boleslav Hordijovych,+380997398677
10520,Kabanenko Ustym Stepanovych,+380931698296
10521,Yevdokymenko Panas Hermanivna,+380930227331
10522,Samojlenko Ustym Jukhymivna,+380931785450
